5023 COMPLETE -4,-7 inFlight=0 remaining=190
5023 DISPATCH -4,-6 inFlight=1 remaining=189
CALL -4,-6 took=32.029141ms
5055 COMPLETE -4,-6 inFlight=0 remaining=189
5055 DISPATCH -4,-5 inFlight=1 remaining=188
CALL -4,-5 took=38.648315ms
5094 COMPLETE -4,-5 inFlight=0 remaining=188
5094 DISPATCH -4,-4 inFlight=1 remaining=187
CALL -4,-4 took=8.696881ms
5103 COMPLETE -4,-4 inFlight=0 remaining=187
5103 DISPATCH -4,-3 inFlight=1 remaining=186
CALL -4,-3 took=17.226098ms
5120 COMPLETE -4,-3 inFlight=0 remaining=186
5120 DISPATCH -4,-2 inFlight=1 remaining=185
CALL -4,-2 took=8.330434ms
5129 COMPLETE -4,-2 inFlight=0 remaining=185
5129 DISPATCH -4,-1 inFlight=1 remaining=184
CALL -4,-1 took=8.028367ms
5137 COMPLETE -4,-1 inFlight=0 remaining=184
5137 DISPATCH -4,0 inFlight=1 remaining=183
CALL -4,0 took=8.434509ms
5146 COMPLETE -4,0 inFlight=0 remaining=183
5146 DISPATCH -4,1 inFlight=1 remaining=182
CALL -4,1 took=37.511983ms
5184 COMPLETE -4,1 inFlight=0 remaining=182
5184 DISPATCH -4,2 inFlight=1 remaining=181
CALL -4,2 took=38.60324ms
5223 COMPLETE -4,2 inFlight=0 remaining=181
5223 DISPATCH -4,3 inFlight=1 remaining=180
CALL -4,3 took=37.350721ms
5260 COMPLETE -4,3 inFlight=0 remaining=180
5260 DISPATCH -4,4 inFlight=1 remaining=179
CALL -4,4 took=46.628301ms
5307 COMPLETE -4,4 inFlight=0 remaining=179
5307 DISPATCH -4,5 inFlight=1 remaining=178
CALL -4,5 took=40.335008ms
5348 COMPLETE -4,5 inFlight=0 remaining=178
5348 DISPATCH -4,6 inFlight=1 remaining=177
CALL -4,6 took=41.395076ms
5390 COMPLETE -4,6 inFlight=0 remaining=177
5390 DISPATCH -4,7 inFlight=1 remaining=176
CALL -4,7 took=47.684562ms
5438 COMPLETE -4,7 inFlight=0 remaining=176
5438 DISPATCH -3,-8 inFlight=1 remaining=175
CALL -3,-8 took=93.176753ms
5531 COMPLETE -3,-8 inFlight=0 remaining=175
5531 DISPATCH -3,-7 inFlight=1 remaining=174
CALL -3,-7 took=41.182317ms
5573 COMPLETE -3,-7 inFlight=0 remaining=174
5573 DISPATCH -3,-6 inFlight=1 remaining=173
CALL -3,-6 took=31.091802ms
5604 COMPLETE -3,-6 inFlight=0 remaining=173
5604 DISPATCH -3,-5 inFlight=1 remaining=172
CALL -3,-5 took=68.80305ms
5673 COMPLETE -3,-5 inFlight=0 remaining=172
5673 DISPATCH -3,-4 inFlight=1 remaining=171
CALL -3,-4 took=9.872436ms
5683 COMPLETE -3,-4 inFlight=0 remaining=171
5683 DISPATCH -3,-3 inFlight=1 remaining=170
CALL -3,-3 took=10.549405ms
5694 COMPLETE -3,-3 inFlight=0 remaining=170
5694 DISPATCH -3,-2 inFlight=1 remaining=169
CALL -3,-2 took=13.501712ms
5708 COMPLETE -3,-2 inFlight=0 remaining=169
5708 DISPATCH -3,-1 inFlight=1 remaining=168
CALL -3,-1 took=16.324116ms
5725 COMPLETE -3,-1 inFlight=0 remaining=168
5725 DISPATCH -3,0 inFlight=1 remaining=167
CALL -3,0 took=9.604323ms
5734 COMPLETE -3,0 inFlight=0 remaining=167
5735 DISPATCH -3,1 inFlight=1 remaining=166
CALL -3,1 took=38.396723ms
5773 COMPLETE -3,1 inFlight=0 remaining=166
5773 DISPATCH -3,2 inFlight=1 remaining=165
CALL -3,2 took=44.789492ms
5818 COMPLETE -3,2 inFlight=0 remaining=165
5818 DISPATCH -3,3 inFlight=1 remaining=164
CALL -3,3 took=43.592268ms
5862 COMPLETE -3,3 inFlight=0 remaining=164
5862 DISPATCH -3,4 inFlight=1 remaining=163
CALL -3,4 took=35.673856ms
5898 COMPLETE -3,4 inFlight=0 remaining=163
5898 DISPATCH -3,5 inFlight=1 remaining=162
CALL -3,5 took=36.079788ms
5934 COMPLETE -3,5 inFlight=0 remaining=162
5934 DISPATCH -3,6 inFlight=1 remaining=161
CALL -3,6 took=36.765574ms
5971 COMPLETE -3,6 inFlight=0 remaining=161
5971 DISPATCH -3,7 inFlight=1 remaining=160
CALL -3,7 took=37.87236ms
6010 COMPLETE -3,7 inFlight=0 remaining=160
6010 DISPATCH -2,-8 inFlight=1 remaining=159
CALL -2,-8 took=98.378379ms
6108 COMPLETE -2,-8 inFlight=0 remaining=159
6108 DISPATCH -2,-7 inFlight=1 remaining=158
CALL -2,-7 took=38.653895ms
6147 COMPLETE -2,-7 inFlight=0 remaining=158
6147 DISPATCH -2,-6 inFlight=1 remaining=157
CALL -2,-6 took=33.81506ms
6181 COMPLETE -2,-6 inFlight=0 remaining=157
6181 DISPATCH -2,-5 inFlight=1 remaining=156
CALL -2,-5 took=29.653715ms
6211 COMPLETE -2,-5 inFlight=0 remaining=156
6211 DISPATCH -2,-4 inFlight=1 remaining=155
CALL -2,-4 took=7.879889ms
6219 COMPLETE -2,-4 inFlight=0 remaining=155
6219 DISPATCH -2,-3 inFlight=1 remaining=154
CALL -2,-3 took=9.323226ms
6229 COMPLETE -2,-3 inFlight=0 remaining=154
6229 DISPATCH -2,-2 inFlight=1 remaining=153
CALL -2,-2 took=1.980435ms
6231 COMPLETE -2,-2 inFlight=0 remaining=153
6231 DISPATCH -2,-1 inFlight=1 remaining=152
CALL -2,-1 took=2.763654ms
6234 COMPLETE -2,-1 inFlight=0 remaining=152
6234 DISPATCH -2,0 inFlight=1 remaining=151
CALL -2,0 took=2.316584ms
6236 COMPLETE -2,0 inFlight=0 remaining=151
6236 DISPATCH -2,1 inFlight=1 remaining=150
CALL -2,1 took=38.094075ms
6275 COMPLETE -2,1 inFlight=0 remaining=150
6275 DISPATCH -2,2 inFlight=1 remaining=149
CALL -2,2 took=40.436078ms
6315 COMPLETE -2,2 inFlight=0 remaining=149
6315 DISPATCH -2,3 inFlight=1 remaining=148
CALL -2,3 took=64.657135ms
6380 COMPLETE -2,3 inFlight=0 remaining=148
6380 DISPATCH -2,4 inFlight=1 remaining=147
CALL -2,4 took=48.320655ms
6429 COMPLETE -2,4 inFlight=0 remaining=147
6429 DISPATCH -2,5 inFlight=1 remaining=146
CALL -2,5 took=41.15669ms
6470 COMPLETE -2,5 inFlight=0 remaining=146
6470 DISPATCH -2,6 inFlight=1 remaining=145
CALL -2,6 took=37.84581ms
6509 COMPLETE -2,6 inFlight=0 remaining=145
6509 DISPATCH -2,7 inFlight=1 remaining=144
CALL -2,7 took=39.868333ms
6549 COMPLETE -2,7 inFlight=0 remaining=144
6549 DISPATCH -1,-8 inFlight=1 remaining=143
CALL -1,-8 took=102.270659ms
6651 COMPLETE -1,-8 inFlight=0 remaining=143
6651 DISPATCH -1,-7 inFlight=1 remaining=142
CALL -1,-7 took=46.248288ms
6698 COMPLETE -1,-7 inFlight=0 remaining=142
6698 DISPATCH -1,-6 inFlight=1 remaining=141
CALL -1,-6 took=34.458607ms
6732 COMPLETE -1,-6 inFlight=0 remaining=141
6733 DISPATCH -1,-5 inFlight=1 remaining=140
CALL -1,-5 took=34.706692ms
6767 COMPLETE -1,-5 inFlight=0 remaining=140
6767 DISPATCH -1,-4 inFlight=1 remaining=139
CALL -1,-4 took=13.288853ms
6781 COMPLETE -1,-4 inFlight=0 remaining=139
6781 DISPATCH -1,-3 inFlight=1 remaining=138
CALL -1,-3 took=9.491541ms
6791 COMPLETE -1,-3 inFlight=0 remaining=138
6791 DISPATCH -1,-2 inFlight=1 remaining=137
CALL -1,-2 took=2.942509ms
6794 COMPLETE -1,-2 inFlight=0 remaining=137
6794 DISPATCH -1,-1 inFlight=1 remaining=136
CALL -1,-1 took=1.902028ms
6796 COMPLETE -1,-1 inFlight=0 remaining=136
6796 DISPATCH -1,0 inFlight=1 remaining=135
CALL -1,0 took=1.841033ms
6798 COMPLETE -1,0 inFlight=0 remaining=135
6798 DISPATCH -1,1 inFlight=1 remaining=134
CALL -1,1 took=45.794318ms
6844 COMPLETE -1,1 inFlight=0 remaining=134
6844 DISPATCH -1,2 inFlight=1 remaining=133
CALL -1,2 took=43.922086ms
6888 COMPLETE -1,2 inFlight=0 remaining=133
6888 DISPATCH -1,3 inFlight=1 remaining=132
CALL -1,3 took=42.261661ms
6931 COMPLETE -1,3 inFlight=0 remaining=132
6931 DISPATCH -1,4 inFlight=1 remaining=131
CALL -1,4 took=52.611693ms
