samples,pct_of_total,leaf_frame
22,0.06,"net.minecraft.world.level.levelgen.Aquifer$NoiseBasedAquifer.calculatePressure(DensityFunction$FunctionContext, MutableDouble, Aquifer$FluidStatus, Aquifer$FluidStatus) line: 500"
22,0.06,"net.minecraft.core.AxisCycle$3.cycle(int, int, int, Direction$Axis) line: 50"
22,0.06,"java.lang.Object.clone()"
22,0.06,"it.unimi.dsi.fastutil.objects.ObjectOpenCustomHashSet.add(Object) line: 285"
21,0.06,"net.minecraft.world.level.levelgen.Aquifer$NoiseBasedAquifer.computeSubstance(DensityFunction$FunctionContext, double) line: 325"
21,0.06,"net.minecraft.world.level.CommonLevelAccessor.getHeightmapPos(Heightmap$Types, BlockPos) line: 33"
21,0.06,"net.minecraft.core.AxisCycle$1.cycle(int, int, int, Direction$Axis) line: 7"
21,0.06,"java.util.stream.ReferencePipeline.toArray(IntFunction) line: 652"
20,0.06,"net.minecraft.world.level.levelgen.SurfaceSystem.buildSurface(RandomState, BiomeManager, Registry, boolean, WorldGenerationContext, ChunkAccess, NoiseChunk, SurfaceRules$RuleSource) line: 139"
20,0.06,"net.minecraft.world.level.levelgen.NoiseChunk$NoiseChunkDensityFunction.minValue() line: 420"
20,0.06,"net.minecraft.world.level.levelgen.DensityFunctions$YClampedGradient.compute(DensityFunction$FunctionContext) line: 1332"
20,0.06,"net.minecraft.world.level.biome.Climate$RTree.search(Climate$TargetPoint, Climate$DistanceMetric) line: 265"
20,0.06,"java.util.Spliterator.getExactSizeIfKnown() line: 414"
19,0.06,"net.minecraft.world.phys.shapes.DiscreteVoxelShape.forAllAxisFaces(DiscreteVoxelShape$IntFaceConsumer, AxisCycle) line: 274"
19,0.06,"net.minecraft.world.level.lighting.BlockLightSectionStorage$BlockDataLayerStorageMap.copy() line: 29"
19,0.06,"net.minecraft.world.level.levelgen.Beardifier.fillArray(double[], DensityFunction$ContextProvider) line: 123"
19,0.06,"net.minecraft.world.level.chunk.ProtoChunk.markPosForPostprocessing(BlockPos) line: 272"
19,0.06,"net.minecraft.util.Mth.binarySearch(int, int, IntPredicate) line: 615"
18,0.05,"net.minecraft.world.level.levelgen.Aquifer$NoiseBasedAquifer.computeSubstance(DensityFunction$FunctionContext, double) line: 379"
18,0.05,"java.util.ImmutableCollections$SetN.probe(Object) line: 1253"
18,0.05,"java.util.HashMap.resize() line: 721"
18,0.05,"com.google.common.base.Suppliers$NonSerializableMemoizingSupplier.get() line: 201"
17,0.05,"net.minecraft.world.level.levelgen.DensityFunctions$MarkerOrMarked.mapAll(DensityFunction$Visitor) line: 433"
17,0.05,"net.minecraft.util.CubicSpline$Multipoint.create(BoundedFloatFunction, float[], List, float[]) line: 90"
17,0.05,"net.minecraft.util.CubicSpline$Multipoint.create(BoundedFloatFunction, float[], List, float[]) line: 79"
15,0.04,"java.util.HashMap.getNode(Object) line: 588"
15,0.04,"java.util.HashMap.computeIfAbsent(Object, Function) line: 1220"
14,0.04,"net.minecraft.world.level.levelgen.structure.templatesystem.StructureTemplate.processBlockInfos(ServerLevelAccessor, BlockPos, BlockPos, StructurePlaceSettings, List) line: 423"
14,0.04,"net.minecraft.world.level.levelgen.SurfaceRules$TestRuleSource.apply(SurfaceRules$Context) line: 776"
14,0.04,"net.minecraft.core.AxisCycle$2.cycle(int, int, int, Direction$Axis) line: 29"
14,0.04,"it.unimi.dsi.fastutil.longs.Long2IntOpenHashMap.find(long) line: 248"
14,0.04,"it.unimi.dsi.fastutil.longs.Long2FloatLinkedOpenHashMap.shiftKeys(int) line: 408"
14,0.04,"it.unimi.dsi.fastutil.longs.Long2FloatLinkedOpenHashMap.get(long) line: 708"
13,0.04,"net.minecraft.world.level.levelgen.feature.TreeFeature.updateLeaves(LevelAccessor, BoundingBox, Set, Set, Set) line: 225"
13,0.04,"net.minecraft.world.level.levelgen.NoiseChunk$NoiseChunkDensityFunction.maxValue() line: 425"
13,0.04,"net.minecraft.world.level.levelgen.NoiseChunk$1.fillAllDirectly(double[], DensityFunction) line: 93"
13,0.04,"net.minecraft.world.level.levelgen.Beardifier.compute(DensityFunction$FunctionContext) line: 166"
13,0.04,"java.util.stream.Streams$StreamBuilderImpl.forEachRemaining(Consumer) line: 411"
13,0.04,"java.util.Comparator.lambda$comparingInt$7b0bb60$1(ToIntFunction, Object, Object) line: 494"
12,0.03,"net.minecraft.world.ticks.ProtoChunkTicks.schedule(SavedTick) line: 24"
12,0.03,"net.minecraft.world.level.levelgen.XoroshiroRandomSource$XoroshiroPositionalRandomFactory.at(int, int, int) line: 143"
12,0.03,"net.minecraft.world.level.levelgen.NoiseChunk$CacheOnce.compute(DensityFunction$FunctionContext) line: 694"
12,0.03,"net.minecraft.world.level.levelgen.DensityFunctions$Spline$Coordinate.minValue() line: 1274"
12,0.03,"net.minecraft.util.thread.BlockableEventLoop.throwDelayedException() line: 202"
11,0.03,"net.minecraft.world.level.lighting.BlockLightEngine.propagateIncrease(long, long, int) line: 64"
11,0.03,"net.minecraft.world.level.levelgen.blockpredicates.StateTestingPredicate.test(WorldGenLevel, BlockPos) line: 25"
11,0.03,"net.minecraft.world.level.levelgen.SurfaceRules$SequenceRule.tryApply(int, int, int) line: 383"
11,0.03,"net.minecraft.world.level.levelgen.DensityFunctions$RangeChoice.maxValue() line: 754"
11,0.03,"net.minecraft.world.level.levelgen.Beardifier.compute(DensityFunction$FunctionContext) line: 162"
11,0.03,"net.minecraft.world.level.levelgen.Aquifer$NoiseBasedAquifer.computeSubstance(DensityFunction$FunctionContext, double) line: 396"
11,0.03,"net.minecraft.world.level.chunk.LinearPalette.valueFor(int) line: 68"
11,0.03,"net.minecraft.util.CubicSpline$Multipoint.lambda$findIntervalStart$0(float, float[], int) line: 192"
11,0.03,"java.util.stream.Sink$ChainedReference.begin(long) line: 256"
11,0.03,"it.unimi.dsi.fastutil.longs.Long2ObjectOpenHashMap.get(long) line: 332"
10,0.03,"net.minecraft.world.phys.shapes.DiscreteVoxelShape.isFull(AxisCycle, int, int, int) line: 84"
10,0.03,"net.minecraft.world.level.levelgen.DensityFunctions$TwoArgumentSimpleFunction.create(DensityFunctions$TwoArgumentSimpleFunction$Type, DensityFunction, DensityFunction) line: 980"
10,0.03,"net.minecraft.world.level.chunk.ChunkGenerator.lambda$applyBiomeDecoration$1(WorldGenLevel, Set, ChunkPos) line: 294"
10,0.03,"java.util.stream.Sink$ChainedReference.end() line: 261"
10,0.03,"java.util.stream.Nodes$FixedNodeBuilder.accept(Object) line: 1230"
10,0.03,"it.unimi.dsi.fastutil.longs.Long2ByteOpenHashMap.get(long) line: 374"
9,0.03,"net.minecraft.world.ticks.SavedTick$1.hashCode(SavedTick) line: 37"
9,0.03,"net.minecraft.world.level.levelgen.synth.NormalNoise.getValue(double, double, double) line: 92"
9,0.03,"net.minecraft.world.level.levelgen.SurfaceRules$Context.lambda$updateY$0(int, int, int) line: 102"
9,0.03,"net.minecraft.world.level.levelgen.DensityFunctions$ShiftA.mapAll(DensityFunction$Visitor) line: 796"
9,0.03,"net.minecraft.world.level.levelgen.DensityFunctions$RangeChoice.minValue() line: 749"
9,0.03,"net.minecraft.world.level.block.SculkVeinBlock$SculkVeinSpreaderConfig.stateCanBeReplaced(BlockGetter, BlockPos, BlockPos, Direction, BlockState) line: 174"
9,0.03,"java.util.stream.Nodes$ArrayNode.<init>(long, IntFunction) line: 649"
9,0.03,"java.util.concurrent.ConcurrentLinkedQueue.offer(Object) line: 380"
9,0.03,"java.util.HashMap.putVal(int, Object, Object, boolean, boolean) line: 636"
9,0.03,"com.google.common.cache.LocalCache$Segment.cleanUp() line: 3468"
8,0.02,"net.minecraft.world.level.levelgen.NoiseChunk.fillAllDirectly(double[], DensityFunction) line: 345"
8,0.02,"net.minecraft.world.level.chunk.DataLayer.getData() line: 91"
8,0.02,"net.minecraft.world.level.block.state.BlockBehaviour$BlockStateBase.getBlock() line: 901"
8,0.02,"net.minecraft.world.level.LevelReader.getBiome(BlockPos) line: 45"
8,0.02,"net.minecraft.util.CubicSpline$Multipoint.create(BoundedFloatFunction, float[], List, float[]) line: 82"
8,0.02,"net.minecraft.util.CubicSpline$Multipoint.apply(Object) line: 173"
8,0.02,"net.minecraft.server.level.WorldGenRegion.setBlock(BlockPos, BlockState, int, int) line: 260"
8,0.02,"java.util.concurrent.ForkJoinPool$WorkQueue.nextLocalTask(int) line: 1357"
8,0.02,"java.util.Collections.unmodifiableMap(Map) line: 1637"
8,0.02,"java.util.AbstractList$RandomAccessSpliterator.forEachRemaining(Consumer) line: 722"
7,0.02,"net.minecraft.world.level.lighting.DynamicGraphMinFixedPoint.checkEdge(long, long, int, int, int, boolean) line: 110"
7,0.02,"net.minecraft.world.level.levelgen.placement.PlacedFeature.lambda$placeWithContext$0(PlacementModifier, PlacementContext, RandomSource, BlockPos) line: 48"
7,0.02,"net.minecraft.world.level.levelgen.placement.HeightRangePlacement.getPositions(PlacementContext, RandomSource, BlockPos) line: 40"
7,0.02,"net.minecraft.world.level.levelgen.carver.WorldCarver.carveEllipsoid(CarvingContext, CarverConfiguration, ChunkAccess, Function, Aquifer, double, double, double, double, double, CarvingMask, WorldCarver$CarveSkipChecker) line: 104"
