samples,pct_of_total,leaf_frame
34,0.14,"net.minecraft.world.level.levelgen.DensityFunctions$Ap2.compute(DensityFunction$FunctionContext) line: 1134"
34,0.14,"net.minecraft.core.AxisCycle$1.cycle(int, int, int, Direction$Axis) line: 7"
33,0.14,"net.minecraft.world.level.levelgen.feature.OreFeature.place(FeaturePlaceContext) line: 51"
33,0.14,"net.minecraft.world.level.levelgen.LegacyRandomSource.next(int) line: 46"
33,0.14,"net.minecraft.server.level.ChunkGenerationTask.scheduleLayer(ChunkStatus, boolean) line: 121"
32,0.13,"net.minecraft.world.level.lighting.SkyLightEngine.propagateLightSources(ChunkPos) line: 362"
32,0.13,"net.minecraft.world.level.levelgen.carver.CaveWorldCarver.createTunnel(CarvingContext, CaveCarverConfiguration, ChunkAccess, Function, long, Aquifer, double, double, double, double, double, float, float, float, int, int, double, CarvingMask, WorldCarver$CarveSkipChecker) line: 133"
32,0.13,"net.minecraft.world.level.levelgen.BitRandomSource.nextInt(int) line: 25"
32,0.13,"net.minecraft.world.level.chunk.ChunkAccess.setBlockState(BlockPos, BlockState) line: 126"
31,0.13,"net.minecraft.world.level.lighting.SkyLightSectionStorage$SkyDataLayerStorageMap.copy() line: 144"
31,0.13,"net.minecraft.world.level.levelgen.SurfaceRules$StoneDepthCheck$1StoneDepthCondition.compute() line: 490"
30,0.13,"net.minecraft.util.CrudeIncrementalIntIdentityHashBiMap.byId(int) line: 49"
29,0.12,"net.minecraft.world.level.levelgen.DensityFunctions$Ap2.compute(DensityFunction$FunctionContext) line: 1142"
28,0.12,"java.util.Spliterator.getExactSizeIfKnown() line: 414"
27,0.11,"net.minecraft.world.level.lighting.SkyLightEngine.propagateIncrease(long, long, int) line: 180"
27,0.11,"java.util.stream.ReferencePipeline$Head.forEach(Consumer) line: 803"
26,0.11,"net.minecraft.world.level.levelgen.Beardifier.fillArray(double[], DensityFunction$ContextProvider) line: 123"
25,0.10,"org.apache.commons.lang3.Validate.inclusiveBetween(long, long, long) line: 315"
25,0.10,"net.minecraft.world.level.levelgen.feature.TreeFeature.updateLeaves(LevelAccessor, BoundingBox, Set, Set, Set) line: 225"
25,0.10,"net.minecraft.world.level.levelgen.DensityFunctions$Ap2.compute(DensityFunction$FunctionContext) line: 1151"
24,0.10,"java.util.Arrays.fill(double[], double) line: 3354"
24,0.10,"it.unimi.dsi.fastutil.longs.Long2ObjectOpenHashMap.get(long) line: 332"
23,0.10,"net.minecraft.world.level.levelgen.NoiseChunk$NoiseChunkDensityFunction.minValue() line: 420"
22,0.09,"net.minecraft.world.level.levelgen.Aquifer$NoiseBasedAquifer.computeSubstance(DensityFunction$FunctionContext, double) line: 396"
22,0.09,"net.minecraft.world.level.levelgen.Aquifer$NoiseBasedAquifer.computeSubstance(DensityFunction$FunctionContext, double) line: 379"
22,0.09,"net.minecraft.core.AxisCycle$2.cycle(int, int, int, Direction$Axis) line: 29"
22,0.09,"java.util.Comparator.lambda$comparingInt$7b0bb60$1(ToIntFunction, Object, Object) line: 494"
22,0.09,"java.lang.Object.clone()"
21,0.09,"net.minecraft.world.level.levelgen.carver.WorldCarver.isDebugEnabled(CarverConfiguration) line: 226"
21,0.09,"net.minecraft.world.level.levelgen.Aquifer$NoiseBasedAquifer.getAquiferStatus(int) line: 541"
21,0.09,"net.minecraft.world.level.biome.Climate$RTree.search(Climate$TargetPoint, Climate$DistanceMetric) line: 265"
21,0.09,"net.minecraft.util.CubicSpline$Multipoint.create(BoundedFloatFunction, float[], List, float[]) line: 79"
21,0.09,"net.minecraft.core.HolderSet$Named.contains(Holder) line: 180"
21,0.09,"java.util.stream.ReferencePipeline.toArray(IntFunction) line: 652"
21,0.09,"java.util.LinkedList.node(int) line: 588"
20,0.08,"net.minecraft.world.level.levelgen.carver.CaveWorldCarver.createTunnel(CarvingContext, CaveCarverConfiguration, ChunkAccess, Function, long, Aquifer, double, double, double, double, double, float, float, float, int, int, double, CarvingMask, WorldCarver$CarveSkipChecker) line: 100"
19,0.08,"net.minecraft.world.level.lighting.BlockLightEngine.propagateIncrease(long, long, int) line: 64"
