t_seconds,cpu_pct
124.22,193.87
124.72,261.77
125.22,289.80
125.72,241.85
126.22,262.63
126.72,227.86
127.22,263.82
127.72,265.81
128.22,197.76
128.72,261.72
129.22,263.78
129.72,281.79
130.22,241.83
130.72,245.81
131.22,275.78
131.72,241.77
132.23,317.79
132.73,217.78
133.23,233.84
133.73,257.84
134.23,267.80
134.73,209.85
135.23,249.84
135.73,221.78
136.23,231.82
136.73,265.82
137.23,257.18
137.73,221.87
138.23,283.80
138.73,245.83
139.23,193.86
139.73,251.81
140.23,233.84
140.73,215.85
141.23,221.84
141.73,221.83
142.23,217.77
142.73,237.70
143.23,215.82
143.74,239.84
144.24,309.83
144.74,297.54
145.24,299.84
145.74,255.84
146.24,239.82
146.74,121.92
147.24,71.95
147.74,0.00
148.24,0.00
148.74,0.00
149.24,0.00
149.74,0.00
150.24,0.00
150.74,0.00
151.24,0.00
151.74,0.00
152.24,0.00
152.74,0.00
153.24,0.00
153.74,0.00
154.24,0.00
154.74,0.00
155.24,0.00
155.75,0.00
156.25,0.00
156.75,0.00
157.25,0.00
157.75,0.00
158.25,0.00
158.75,0.00
159.25,0.00
159.75,0.00
160.25,0.00
160.75,0.00
161.25,0.00
161.75,0.00
162.25,0.00
162.75,0.00
163.25,0.00
163.75,0.00
164.25,0.00
164.75,0.00
165.25,0.00
165.75,0.00
166.25,0.00
166.75,0.00
167.26,0.00
167.76,0.00
168.26,0.00
168.76,0.00
169.26,0.00
169.76,0.00
170.26,0.00
170.76,0.00
171.26,0.00
171.76,0.00
172.26,0.00
172.76,0.00
173.26,0.00
173.76,0.00
174.26,0.00
174.76,0.00
175.26,0.00
175.76,0.00
176.26,0.00
176.76,0.00
177.26,0.00
177.76,0.00
178.26,0.00
178.76,0.00
179.26,0.00
179.77,0.00
180.27,0.00
180.77,0.00
181.27,0.00
181.77,0.00
182.27,0.00
182.77,0.00
183.27,0.00
183.77,0.00
184.27,0.00
184.77,0.00
185.27,0.00
185.77,0.00
186.27,0.00
186.77,0.00
187.27,0.00
187.77,0.00
188.27,0.00
188.77,2.00
189.27,0.00
189.77,0.00
190.27,0.00
190.77,0.00
191.27,0.00
191.77,0.00
192.28,0.00
192.78,0.00
193.28,0.00
193.78,0.00
194.28,0.00
194.78,0.00
195.28,0.00
195.78,0.00
196.28,2.00
196.78,0.00
197.28,0.00
197.78,0.00
198.28,0.00
198.78,0.00
199.28,0.00
199.78,0.00
200.28,0.00
200.78,0.00
201.28,0.00
201.78,0.00
202.28,0.00
202.78,0.00
203.28,0.00
203.78,0.00
204.28,0.00
204.79,0.00
205.29,0.00
205.79,0.00
206.29,0.00
206.79,0.00
207.29,75.75
207.79,99.94
208.29,99.92
208.79,43.96
