samples,pct_of_total,leaf_frame
27,0.08,"net.minecraft.world.level.levelgen.Aquifer$NoiseBasedAquifer.getAquiferStatus(int) line: 541"
26,0.07,"net.minecraft.world.level.chunk.ChunkAccess.setBlockState(BlockPos, BlockState) line: 126"
26,0.07,"net.minecraft.util.CrudeIncrementalIntIdentityHashBiMap.byId(int) line: 49"
26,0.07,"it.unimi.dsi.fastutil.objects.ObjectOpenCustomHashSet.add(Object) line: 285"
25,0.07,"org.apache.commons.lang3.Validate.inclusiveBetween(long, long, long) line: 315"
25,0.07,"net.minecraft.world.level.levelgen.NoiseChunk$Cache2D.compute(DensityFunction$FunctionContext) line: 744"
25,0.07,"net.minecraft.world.level.levelgen.Aquifer$NoiseBasedAquifer.computeSubstance(DensityFunction$FunctionContext, double) line: 379"
25,0.07,"java.util.stream.ReferencePipeline$Head.forEach(Consumer) line: 803"
24,0.07,"net.minecraft.world.level.levelgen.LegacyRandomSource.next(int) line: 46"
24,0.07,"net.minecraft.core.AxisCycle$3.cycle(int, int, int, Direction$Axis) line: 50"
24,0.07,"net.minecraft.core.AxisCycle$2.cycle(int, int, int, Direction$Axis) line: 29"
23,0.07,"java.util.Spliterator.getExactSizeIfKnown() line: 414"
22,0.06,"net.minecraft.world.phys.shapes.BitSetDiscreteVoxelShape.firstFull(Direction$Axis) line: 106"
22,0.06,"net.minecraft.world.level.levelgen.XoroshiroRandomSource$XoroshiroPositionalRandomFactory.at(int, int, int) line: 143"
21,0.06,"net.minecraft.world.level.levelgen.DensityFunctions$Ap2.compute(DensityFunction$FunctionContext) line: 1134"
21,0.06,"java.lang.invoke.DirectMethodHandle.allocateInstance(Object) line: 500"
20,0.06,"net.minecraft.world.level.lighting.BlockLightSectionStorage$BlockDataLayerStorageMap.copy() line: 29"
20,0.06,"net.minecraft.world.level.levelgen.DensityFunctions$Spline$Coordinate.minValue() line: 1274"
20,0.06,"net.minecraft.world.level.levelgen.Beardifier.compute(DensityFunction$FunctionContext) line: 166"
20,0.06,"net.minecraft.core.AxisCycle$1.cycle(int, int, int, Direction$Axis) line: 7"
19,0.05,"net.minecraft.world.level.lighting.SkyLightEngine.propagateIncrease(long, long, int) line: 180"
19,0.05,"net.minecraft.world.level.levelgen.NoiseChunk$NoiseChunkDensityFunction.minValue() line: 420"
18,0.05,"net.minecraft.world.level.levelgen.structure.templatesystem.StructureTemplate.processBlockInfos(ServerLevelAccessor, BlockPos, BlockPos, StructurePlaceSettings, List) line: 423"
18,0.05,"net.minecraft.world.level.levelgen.DensityFunctions$BeardifierMarker.fillArray(double[], DensityFunction$ContextProvider) line: 369"
18,0.05,"net.minecraft.world.level.levelgen.Aquifer$NoiseBasedAquifer.calculatePressure(DensityFunction$FunctionContext, MutableDouble, Aquifer$FluidStatus, Aquifer$FluidStatus) line: 500"
18,0.05,"net.minecraft.world.level.biome.Climate$RTree.search(Climate$TargetPoint, Climate$DistanceMetric) line: 265"
